text,sentiment,,
"It sounds good but it adds soooo much noise to my pedal board. If that's not a problem, definitely worth the price.",positive,,
"Some things just don't need to change. Some Wah pedals try to tempt you with built in fuzz, eq, or other wacky add-ons but WHY? I'd rather have one pedal that does its job perfectly than a pedal that does a bunch of stuff but sounds less than great. The Crybaby is a great effect to have for any style; everyone from Jack White to Jimmy Hendrix have used some incarnation of this pedal. It's a must have and that's really all there is to say.",positive,,
"I acknowledge that this is a minority opinion - perhaps I just had bad luck with my unit and the attempts to repair it afterwards.  But while I loved the sound and functionality of this wah-wah pedal, it would literally last me a few months at a time before it became unusable.  I suspected that the potentiameter was shot, so I had that replaced, but the same problems reoccurred.  Like a horrible static noise as soon as started using it.Good product, but hopefully they make them more durable than the particular unit I had.",positive,,
I keep a capo in each instrument nothing wore than showing up without one. I am using this on my Martin 12-string. The spring holds tight but can easily be adjusted with one hand.,positive,,
Best 12-string capo I have ever used--and that's over decades.  Works easily and flawlessly.  Very well made.  Five Stars,positive,,
This is my 6th Kyser capo.  This one for my new Ovation 12 String CC245 is what I needed.  I always recommend all Kyser Capos.They last forever and do not lose the strong holds.,positive,,
does what is designed to do easy to use seems sturdy should serve me well for years to come ...was not too expensive for such good quality,positive,,
If you play 12 acoustic you gotta get this one.  Just a hair longer on the padded area which is what  you need.  You can tell them from the 6 string version by the ridges being much closer together on this one.,positive,,
"This capo does exactly what it should.  It clamps the strings tight to there is no buzz and it does not change the tune of the guitar when used.  I have 4 Kyser capos, one for each of my guitars and will never buy another brand.",positive,,
"This is for theKyser Banjo/Mandolin CapoThis is one of three capos I use for a ukulele.  It works, and is my second favorite.  I can park it on the headstock of my ukulele, and it is easy to add, move, remove. With the trigger-type release, it makes it one of the easiest quick-change capos I've used. It feels sturdy enough (lightweight aluminum).  I like how the trigger portion sticks upwards, and does not get in the way like myDunlop Trigger Banjo Capo, Black.  My favorite is still the G7th capo.  This is a close second to the G7th.My only nitpicky complaint is how it is not eligible for Amazon Prime.  UPDATE:  I just saw that this capo is eligible for Amazon Prime.  Free shipping for Prime members!!!For the price and quality, this Kyser capo works on a uke. Highly recommended.",positive,,
"works great, stays out of the way... cant ask for much more than that. (and expect to get it) the price was half of what i was locally.",positive,,
It says for a Banjo or a Mandolin but ukulele is the first instrument listed on the box. It is just the right size to clamp over four strings and taking it on/off is really easy.,positive,,
"Costs about 2x as much as some cheap capos, and it's worth every single penny.  THis has a strong clip, yet does not damage my concert or tenor ukulele necks.  It won;t budge once you clip it, and it's low profile.  Made of metal, it should last a lifetime.I took off one star only for one thing: the hand clip portion of this does sometimes get in the way of fretting because it sticks out from the neck quite a ways.  Some other capos, like this oneJim Dunlop 7828 Russell Banjo/Uke Capodoes not have anything that you can hit your hand on when fretting.  Sometimes I try the Kyser on the opposite side, away from me, the player.  But, it seems to still hit my hand on some chords, just different ones.  That said, I can work around it, and it's a lifelong capo of fantastic build and keeps those strings from buzzing at all on all my ukes. If one was to have large hands, as I do not, this interference may be even more of an issue to consider.C ya.  Happy strumming.  Mahalo.",positive,,
"A very strong capo..too strong for bigger instruments, but works good on ukes and mandolins and banjos with not too thick of a neck.  I have several of these capos, one for each instrument.",positive,,
"Bought this for my husbands Mandolin and he loves it, it works great, we swear by Kyser that's all we use on our guitars is Kyser capos, great product, no complaints and the price is worth it.",positive,,
"Works great with my Baritone Ukulele.  Same quality as my full size acoustic guitar capo.  Easily fits in my ukulele case, too.",positive,,
It's a very cute little capo. It works great on my ukulele and mandolin but of course it's hard to use because when you get into the higher frets the frets are VERY small. But it works.,positive,,
"Although this capo is marked as correct for a mandolin, it only works correctly above the 3rd or 4th fret on my mandolin. Any lower on the fretboard than that and this capo doesn't have enough pressure to work on the 1st or 2nd fret position on my mandolin, even though my mandolin has a fairly low action.I have a number of Kyser capos and very much like the style (I own at least six Kyser guitar capos and use them on all of my guitars from a Taylor 12-String to a Fender American Strat without any problems), but in this case the banjo capo didn't work for what I need. Perhaps the capo sent to me was defective, although I have enough decades of experience with stringed instruments to know that it didn't seem broken, just not up to the task.From feedback others have sent to me it is possible this capo may work for you if you wish to take a chance on it, but I know that I don't have time while on stage to take 20 seconds to set a fussy capo 'just right' to make sure it is holding just right and then hope it doesn't start to buzz on me in the middle of a song. I went with another brand after talking to some bluegrass guys who had better luck with another style of mandolin capo.",positive,,
I use this capo all the time on both instruments. A friend of mine saw it and asked me to order them one also. I did and they love it!,positive,,
"I have several types of capos, this one seems well built.  A little bulky for 5 string banjo especially if you are fingering near it.  I really don't need to change that fast so use it very little, might use more in a performance setting but that is a ways off.",positive,,
It's a good banjo capo.  Inexpensive  and it works well without squeezing the strings out of tune. End of story,positive,,
"I've been using one of these Kyser's for a good while now. I only have one so it usually stays with the mandolin but works just as well for my banjo. If you never used one, it's makes it MUCH easier to change keys although I usually only use it when I'm playing chords, when I solo I like to play with open strings and this makes it a breeze to pop off and put back on. With a little practice you'll be able to do it quickly without having the strings buzz.",positive,,
"This is such a nice bag for the price.  Nicely padded with an ample zip compartment that can hold your snark, capo, or whatever.  There is a handle and a shoulder strap.  Plus, it is reallly a nice looking bag, black with a little white trim in front.",positive,,
"These are the best strap locks in my opinion, good quality, easy to install and remove, secure, and they look good.  All my guitars have these locks on them and I'm very satisfied.",positive,,
